名稱,分類,緯度,經度,地址,電話,介紹,圖片
月桃故事館,魅力商圈;特色老店再現風華;十大伴手禮暨人氣商品,23.512631,120.448642,嘉義市保忠一街359號,05-2766399,華實興業成立於1982年，由何勇魏董事長與親友集資創業，取「春花秋實，用心耕耘乃得歡喜收獲」之義，因此命名為華實興業股份有限公司。華實興業近幾年來跨足保養品市場，創立「雅典之春」保養品系列，2014年成立「月桃故事館」觀光工廠，開發月桃系列產品及應用各種本土特色植物的產品。2015年以「月桃故事 旅遊生活組」獲選嘉義市十大伴手禮。<br><br>華實興業董事長何勇魏表示，月桃整株都可被應用，月桃葉可枕墊糕粿、包粽子，葉鞘曬乾可做為繩索、漁網、罟或編成草蓆，種子可做「仁丹」原料，塊根亦可做為食品香料及中藥材。小時候砍月桃賣錢，更是兄弟間難忘回憶，因此決定開設認識有關月挑等天然特色植物、健康的產品的故事館。<br><br>「月桃故事館」透過分階段導入主題展示空間塑造規劃、商品包裝設計改良與特色產品創新開發等基礎輔導，運用最新生化科技CO2超臨界萃取及全自動水蒸氣萃取濃縮，配合GMP製程規範10000級無塵無菌保養品生產廠房，應用公司二、三十年累積技術與產學合作，萃取台灣本土植物或作物之有效成分，製成保養品、日用品等產品。<br><br>故事館內更有月桃生態及早期先民與月桃生活軼事、手工藝品展示導覽，讓民眾可以就近認識月桃，在生活中的關聯及未來的發展運用；另外也種植有40餘種香草植物，可供觀賞及體驗。<br>,http://fun.chiayi.gov.tw/cy2012/images/699/images/201622132156月桃故事館4.jpg
新台灣餅舖,美食饗宴;伴手禮;十大伴手禮暨人氣商品;特色老店再現風華;文化路商圈,23.479947,120.449317,嘉義市中山路294號,05-2222154,認真的男人是不會被取代的！舊的不去新的不來，又要歷久彌新！要在同一個地點營業112年確實是值得喝采！來聽聽新臺灣餅鋪的故事。<br><br>話說在日治時期明治34年（1901）的「日向屋高級果子鋪」在七彩噴水池旁創立。專營阿里山饅頭、羊羹、麻糬等等，同時還是裕仁太子以及高級長官御用點心之指定商店呢。當時的日向屋美輪美奐，是在諸羅山的地標，也是嘉義諸羅地區最早的糕餅麵包店。<br><br>第一代的新臺灣餅鋪創始人盧福先生恭逢其盛，也曾在日向屋服務過學習製作糕餅麵包的技術。二次世界大戰後，盧福先生排除萬難接續日向屋既有的日式點心餅藝，並融入臺式糕餅、月餅重新創業取名「新臺灣餅鋪」。<br><br>後來日治時代的店面毀於民國53年（1964）1月18日嘉南大地震！盧福先生夫婦努力的度過那段艱辛的日子，終於再將新臺灣餅鋪恢復昔日的繁榮營運。民國60年（1971）10月新臺灣餅鋪新大樓落成後交棒給第二代盧昆常先生。盧昆常先生再接再勵不斷提升糕餅的技術，更不惜重資禮聘日本糕餅師傅進駐新臺灣餅鋪教導與訓練員工，又斥資購買自動包餡機生產月餅，也引進蒸汽烤爐製作專業法國麵包及歐式雜糧麵包。<br><br>第二代的經營者盧先生謙虛的說：本舖的發展史幾乎與臺灣糕餅業的發展同步進程。時代潮流不斷快速的變化，傳統糕餅店正面臨經營方式的考驗。本舖也不例外，符合多元化的趨勢，調整開發專屬於本舖的精神。秉承創始人盧福先生品質新鮮、忠於原味、師法自然的經營理念。新臺灣餅鋪再添加三要素：要好吃！要吃得健康！要建立好口碑！<br>強力的推薦：麻糬、鳳梨酥、乳酪酥、羊羹、日式燒饅頭，等您來品嚐。<br><br>2015年以「神木羊羹禮盒」獲選嘉義市十大伴手禮。採傳統工法煉製羊羹，甜味適中，表面晶瑩明亮，呈現出典雅高貴的氣質。神木羊羹代表著阿里山懷舊的情懷。<br>,http://fun.chiayi.gov.tw/cy2012/images/689/images/20131111172526新台灣餅舖2.jpg
德霖國際事業有限公司‧一青寬,文化巡禮;藝術工藝;特色老店再現風華;十大伴手禮暨人氣商品,23.502489,120.439305,嘉義市文化路909-3號,05-2322441,德霖公司的前身是已經創立近50年的順益木業工廠，有感時代變遷，傳統產業逐漸式微，於是自創「一青寬」品牌，力圖轉型，改變一般人對木業粗獷死板的印象。其主要營運項目是檜木、肖楠為主之木工藝品及文創商品的設計製作及銷售。若您至嘉義一遊想帶點紀念品，別忘了來選購各種木工藝品，帶點木材的清香回家。<br><br>2015年以「生命樹－檜木精油項鍊」獲選嘉義市十大伴手禮。以檜木滴片將精油緩緩注入生命樹孔中，是為養木，有灌溉滋養之意，生命樹項鍊中的芬多精，於胸前持續散發，讓人保持活力舒暢，隨時都能漫步在森林中。<br>,http://fun.chiayi.gov.tw/cy2012/images/632/images/20162310012檜木精油項鍊.jpg
嘉冠喜食品有限公司,美食饗宴;伴手禮;十大伴手禮暨人氣商品;特色老店再現風華,23.450078,120.441382,嘉義市湖子內路263-1號,05-2866087,嘉冠喜以「諸羅桃菓」、「烙映煎餅」、「諸羅寶鑑萬萬煎餅」等產品，多次入選嘉義市十大伴手禮。將一個小小的煎餅做出新口感、又入選嘉義市十大伴手禮，短短的一句話，嘉冠喜可是摸索了十多年，終於摸索出一條路。<br><br>煎餅是日本傳統餅乾，有花生、芝麻、牛奶等口味，香味濃厚，不過，煎餅也有著「石頭餅」的俗稱，很多牙口不好的人一聽到煎餅，就會退縮不敢輕易嘗試。老闆當時思考著，製作傳統煎餅很難跟知名店家比拼，於是決定從改良硬度、增加口味、改變形狀等著手。<br><br>「我們的煎餅吃起來酥、鬆，更重要的是多層次口感，這是一般煎餅沒有的，同時我們也把嘉義的歷史特色融入產品中，讓餅乾多了份創意與內涵」。而公司當初取名「嘉冠喜」，也寓有台語諧音「呷慣習」的意思在裡面，相當逗趣。,http://fun.chiayi.gov.tw/cy2012/images/682/images/201622133359諸羅寶鑑煎餅.jpg
啃趣食物有限公司,魅力商圈;垂楊路商圈;伴手禮;十大伴手禮暨人氣商品,23.473363,120.454287,嘉義市吳鳳南路17巷1-2號,05-2224358,2015年以「鳳梨水果起司蛋糕」獲選嘉義市十大伴手禮。產品使用嘉南平原特產鳳梨，加入當季水果，製成獨特幸福口味甜點，以一整顆完整鳳梨為起司蛋糕容器，將蛋糕餡料放入其中熟成，切開鳳梨就能看到充滿驚喜的蛋糕！<br>,http://fun.chiayi.gov.tw/cy2012/images/997/images/201622135439啃趣食物1.jpg
蘋果莊園有限公司‧戲獸仔豆干,美食饗宴;伴手禮;十大伴手禮暨人氣商品,23.476726,120.441663,嘉義市蘭井街465號6樓3,0963431975,戲獸仔豆干堅持對原料品質嚴格把關，一份挑逗你胃的良食，健康、在地、高品質的豆干產品，一口咬下甘甜飽滿香辣多汁，令人回味的健康零嘴。2015年獲選嘉義市十大伴手禮。<br><br>戲獸仔(台語發音 SI-SIOU-A)即「四獸」青龍、白虎、朱雀、玄武，古早的人出外經商、求學時，將糕餅製成四獸形狀，保佑旅途平安、諸事順遂。之所以取名「戲獸仔」，一為其發音與「零嘴」的台語相近，二來代表著我們許諾顧客，享受零嘴時擁有一份安心愉悅，如同小神獸們相互嬉戲的雀躍。,http://fun.chiayi.gov.tw/cy2012/images/1001/images/2016239422戲獸仔豆干.jpg
龍師父黃金泡菜坊,美食饗宴;伴手禮;十大伴手禮暨人氣商品,23.470612,120.442245,嘉義市西區仁愛路195巷28號1樓,05-2863101,龍師父黃金泡菜用最健康自然的方式熟成發酵，讓消費者食的健康，品嚐的每一口，都充滿最真實、來自天然的感動，更蘊含栽種者的心血與汗水，在齒頰間得到身心靈的舒坦與滿足。2015年以「黃金泡菜禮盒」獲選嘉義市十大伴手禮。,http://fun.chiayi.gov.tw/cy2012/images/1000/images/2016238313黃金泡菜.jpg
一茶工房,美食饗宴;風味茶飲;垂楊路商圈;伴手禮;十大伴手禮暨人氣商品,23.472916,120.440772,嘉義市西區垂楊路563號,05-2369768,一茶工房是傳承創立於1971年老店「世芳茶行」的延伸，一個執著于臺灣茶文化產業的品牌。為了傳遞喝一杯茶的幸福，一山一水採自然農法，秉持敬天、愛地、做好茶的在地精神，承諾賣給您的是100% Made in Taiwan 的茶，給您喝一輩子好茶，讓好茶傳千年。<br><br>2015年以「桃喜紅茶」獲選嘉義市十大伴手禮。精選阿里山北緯23.5度青心烏龍種製成的紅茶，特選穀雨前後手工嫩採，香氣濃郁風味獨特層次分明，韻律且節奏變化豐富，含帶天然花果調。桃喜的茶色，是嘉義溫暖的顏色，是紅茶最美的色溫，一杯滿滿嘉義溫度的茶。<br>,http://fun.chiayi.gov.tw/cy2012/images/998/images/201622141115一茶工房.jpg
勤億蛋品科技,美食饗宴;伴手禮;十大伴手禮暨人氣商品,23.451807,120.431491,嘉義市西區新民路37號,05-2354516,身為全台首屈一指的蛋品公司，勤億自覺肩負提升台灣蛋業水平的使命，所以不斷創新，從一般液蛋升級到殺菌液蛋，從蛋品堅持冷藏保鮮運送，期能拋磚引玉，引領產業向上提升。<br><br>除了蛋品加工製造與運送，勤億接著又投入了蛋雞飼養產業，以好山好水的嘉義地區為基地，陸續建設多座蛋雞飼養場，採高規格、現代化的方式養雞，產出一粒粒高優質的勤億蛋品。勤億也在嘉義創設了以雞蛋為主題的觀光工廠「勤億蛋品夢工場」，寓教於樂，讓您對蛋品有更多的了解。<br><br>2015年以「勤億幸福滴雞精」獲選嘉義市十大伴手禮。滴煉滴雞精所用的原料雞，位於阿里山下的飼養牧場，堅持選用飼養滿18個月以上的熟齡老母雞，滴煉過程不加一滴水，不加中藥調味；堅持只做原味一款，惟有單純才能彰顯好品質。<br>,http://fun.chiayi.gov.tw/cy2012/images/999/images/201622173241勤億蛋品.jpg
嘉義市明清時代,古蹟攬勝;歷史沿革,23.474151,120.451693,無,無,在外來勢力還未來臺之前，嘉義市最早為平埔族諸羅山社（Tirosen）活動的區域，因此嘉義古名「諸羅山」的緣由即為荷蘭人將此社「番語」音譯為「Tirosen」，漢人再書寫為「諸羅山」；而另一說法係取其東方諸山羅列之意。<br>明朝天啟元年（1621）閩漳人顏思齊率民自笨港登陸，逐步拓墾雲嘉地區。天啟4年（1624）荷蘭人占據臺灣，未久即對嘉義地區的平埔族諸羅山社民進行招撫，並對此地加以經營，從紅毛埤（今之蘭潭水庫）、紅毛井及王田里等遺跡可看出端倪。<br>明永曆15年（1661）鄭成功來臺驅逐荷蘭人，在此建立了漢人政權，設一府二縣，即承天府與天興、萬年兩縣，當時嘉義隸屬天興縣。而有「嘉義首廟」之稱的雙忠廟所祀主神張巡、許遠即明鄭屯兵所奉拜，當時此地在紅毛井以北，清縣署之南，為明鄭時期「智武鎮」本部的所在地；另一座廟宇仁武宮則與「仁武鎮」軍屯天興州有關，據傳，明永曆27年（1673）鄭經西征時，將原屯田於今高雄仁武者，改調至諸羅鎮守，官兵中有自泉州恭奉保生大帝神像來此，作為屯田的守護神。<br>清康熙22年（1683），明鄭為施琅所敗，清國領有臺灣，隔年（1684）設臺灣府統三縣，即臺灣、鳳山、諸羅等縣，諸羅縣署設於佳里興（今之臺南縣佳里鎮）。直至康熙43年（1704），知縣宋永清奉文歸治，文武官員移歸諸羅山，以木柵築城，設東西南北四門，是當時一府三縣中最早建築的一座城柵，由於古城形如桃狀因而諸羅城亦名「桃城」。<br>乾隆51年（1786），林爽文反清之役，圍攻諸羅城，城內人民協助清軍有功，清國乃本「嘉其死守城池之忠義」之旨，翌年11月初三日下詔，易稱「諸羅」為「嘉義」。至光緒21年（1895），清日甲午戰役後，清國與日本訂立馬關條約，將臺灣割給日本，也結束清朝對臺灣長達二百年的統治。,http://fun.chiayi.gov.tw/cy2012/images/386/images/嘉義市明清時代1.jpg
